ID,CF_WSH,CF_SY,CF_SXQ,,,
400022,深卫医[2018]24号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-03-16,,,
400023,深卫医[2018]9号,对未对医疗废物进行登记或者未保存登记资料的处罚。,2017-09-25,,,
400024,20170100221-01,对未依法取得公共场所卫生许可证擅自营业的处罚,2018-12-11,,,
400025,深卫公[2018]1号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-04-20,,,
400026,深卫医[2018]12号,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-09-21,,,
400027,201704002625-01,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2017-10-20,,,
400028,深南卫医[2017]18号,对医疗卫生机构的环境、物品未符合国家有关规范、标准和规定。排放废弃的污水、污物未按照国家有关规定进行无害化处理。运送传染病病人及其污染物品的车辆、工具未随时进行消毒处理的处罚,2018-09-03,,,
400029,深龙卫传[2018]07F-3号,对接种单位未依照规定建立并保存真实、完整的疫苗接收或者购进记录的行政处罚。,2018-09-10,,,
400030,201805002603-01,医疗机构未及时告知患者医疗风险案,2018-12-21,,,
400031,深卫医[2018]92号,对医疗机构使用执业助理医师单独执业违法行为进行处罚,2018-12-12,,,
400032,深卫医[2018]85号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-12-12,,,
400033,深卫医[2018]83号,对医疗机构未按照规定开展医疗技术临床应用的违法行为进行处罚,2018-11-09,,,
400034,深卫医[2018]71号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-09-12,,,
400035,深卫医[2018]53号,医疗机构未及时告知患者诊疗措施案,2018-09-29,,,
400036,深卫医[2018]43号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2018-09-25,,,
400037,深卫医[2018]44号,医疗机构其他未按照规定签署医学文书案,2018-09-29,,,
400038,深卫医[2018]80号,医疗机构伪造医学文书案,2018-09-12,,,
400039,深卫医[2018]54号,对任用一名卫生技术人员从事执业范围或本专业以外的诊疗活动的不良执业行为进行检查,2016-09-29,,,
400040,深卫医[2016]14号,对医疗机构未按照规定使用安全防护装置和个人防护用品的行为进行处罚,2018-05-07,,,
400041,20180100513-01,对未遵守卫生法律、法规、规章和诊疗护理规范的行为进行处罚,2018-12-10,,,
400042,深卫医[2018]88号,对疾病预防控制机构未依照规定建立并保存疫苗购进、分发、供应记录的行政处罚。,2018-09-28,,,
400043,201811002764-01,对医疗卫生机构对临时应急采集的血液未进行艾滋病检测，对临床用血艾滋病检测结果未进行核查，或者将艾滋病检测阳性的血液用于临床的行政处罚。,2017-09-11,,,
400044,深宝卫传罚（现[2017 ]06B-2号,深圳华丹医院使用非卫生技术人员从事医疗卫生技术工作案,2016-05-30,,,
400045,深卫医[2016]7号,使用未取得处方权的人员汪艳敏开具处方、伪造病历资料案,2016-06-12,,,
400046,深卫医[2016]10号,医疗机构欺骗患者接受诊疗案,2018-11-08,,,
400047,深卫医技[2018]41号,医疗机构欺骗患者接受诊疗案,2018-11-21,,,
400048,深卫医[2018]79号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-12-27,,,
400049,深卫医[2018]82号,对使用一名非卫生技术人员从事诊疗活动的不良执业行为进行检查,2018-11-02,,,
400050,深龙卫医[2018]07A-19号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-07,,,
400051,深卫医[2018]68号,医疗机构其他未按照规定书写病历案,2018-09-25,,,
400052,深卫医技[2018]46号,医疗机构其他未按照规定书写病历案,2018-11-30,,,
400053,201803002370-02,医疗机构其他未按照规定保管病历案,2018-11-30,,,
400054,深卫医[2018]69号,对疾病预防控制机构、接种单位从不具有疫苗经营资格的单位或者个人购进第二类疫苗的行政处罚。,2018-11-12,,,
400055,深卫医[2018]77号,对医疗机构未给从事放射工作的人员办理《放射工作人员证》的行为进行处罚,2018-12-20,,,
400056,深卫医[2018]93号,对使用一名执业地点不是本医疗机构的医师或护士独立从事诊疗活动的不良执业行为进行检查,2017-05-31,,,
400057,201806C02324-01,医疗机构伪造医学文书案,2018-12-12,,,
400058,深龙华卫放[2018]11-3号,医疗机构欺骗患者接受诊疗案,2018-11-09,,,
400059,深卫医[2017]4号,对医疗机构使用未取得麻醉药品和第一类精神药品处方资格的医师开具麻醉药品和第一类精神药品处方的行为进行处罚,2016-11-18,,,
400060,深卫医[2018]87号,医疗机构未及时告知患者医疗风险案,2018-09-25,,,
400061,深卫医[2018]28号,对任用非卫生技术人员从事医疗卫生技术工作的，任用两名以上非卫生技术人员从事诊疗活动的违法行为进行处罚,2018-09-29,,,
400062,深卫医[2016]17号,对医疗机构未给从事放射工作的人员办理《放射工作人员证》的行为进行处罚,2018-11-05,,,
400063,深卫医[2018]42号,对医疗机构使用卫生技术人员开展注册专业以外的医疗卫生技术活动违法行为进行处罚,2018-09-04,,,
400064,深卫医[2018]45号,对医疗机构使用卫生技术人员开展注册专业以外的医疗卫生技术活动违法行为进行处罚,2018-09-19,,,
400065,深福卫放[2018]7号,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2017-11-01,,,
400066,深卫医[2018]35号,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2017-01-13,,,
400067,深卫医[2018]36号,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2017-01-17,,,
400068,深宝卫放[2017]06A-1号,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2017-09-13,,,
400069,20170101203-1,对医疗机构未按照规定组织职业健康检查、未建立职业健康监护档案或者未将检查结果如实告知劳动者的行为进行处罚,2017-05-24,,,
400070,20170101204,违反职业病危害项目预评价制度案,2016-01-25,,,
400071,深卫医[2017]18号,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2017-05-05,,,
400072,深宝卫放[2017]06D-1号,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2017-09-05,,,
400073,深宝卫放[2016]06B-1号,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2017-08-21,,,
400074,深龙华卫放[2017]11-1号,对医疗机构未按照规定使用安全防护装置和个人防护用品的行为进行处罚,2017-05-03,,,
400075,深卫医[2017]21号,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-11-03,,,
400076,深卫医[2017]19号,对医疗机构发生放射事件未立即采取应急救援和控制措施或者未按照规定及时报告的行为进行处罚,2017-11-02,,,
400077,20170500515-01,医疗机构其他未按照规定书写病历案,2017-08-11,,,
400078,201706A02377-01,对不按规定进行病历资料、处方或者其他医疗文书管理的不良执业行为进行检查,2017-09-07,,,
400079,201706D0510-01,对建设单位未按照规定进行职业病危害预评价或者未提交职业病危害预评价报告，或者职业病危害预评价报告未经卫生行政部门审核同意，开工建设的违法行为进行处罚,2017-03-06,,,
400080,深卫医[2017]17号,违法法规:《医疗事故管理条例》第九条严禁涂改、伪造、隐匿、销毁或者抢夺病历资料,2016-03-17,,,
400081,深卫医[2017]22号,对医疗机构未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作的行为进行处罚,2017-06-21,,,
400082,2017110058-01,对涂改、伪造、隐匿、销毁病历资料的违法行为进行处罚,2017-03-27,,,
400083,20160101212-3,对医疗机构中允许未取得护士执业证书的人员或者允许未依照本条例规定办理执业地点变更手续、延续执业注册有效期的护士在本机构从事诊疗技术规范规定的护理活动的行为进行处罚,2017-09-21,,,
400084,深龙卫放[2017]4号,",违反建设项目职业病危害评价制度的有关规定",2016-06-29,,,
400085,20170101216,使用未取得处方权的人员开具处方案,2016-06-24,,,
400086,20170101259,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-05-02,,,
400087,201606G051-01,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-06-15,,,
400088,深卫医[2016]8号,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-07-06,,,
400089,201705002166-01,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2017-05-03,,,
400090,深南卫医[2018]5号,对医疗机构使用执业助理医师单独执业违法行为进行处罚,2017-07-10,,,
400091,深卫医罚[2018]27号,医疗机构伪造医学文书案,2018-09-03,,,
400092,2017010028-01,对医疗机构使用执业助理医师单独执业违法行为进行处罚,2018-09-03,,,
400093,深卫医[2017]8号,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-07-18,,,
400094,深卫医[2018]34号,未执行进货检查验收制度、违反医疗卫生机构环境、物品、污水、污物消毒卫生要求案,2016-06-20,,,
400095,深卫医[2018]33号,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2018-09-01,,,
400096,201803002249-01,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2018-08-27,,,
400097,深龙卫传[2016]10-5号,医疗机构其他未按照规定书写病历案,2018-02-07,,,
400098,深卫医[2018]32号,医疗机构其他未按照规定保管病历案,2018-02-07,,,
400099,深卫医[2018]66号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-02-07,,,
400100,深卫医[2018]6号,对医疗机构未安装规定进行职业病危害预评价或者未提交职业病危害预评价报告，或者职业病危害预评价报告未经卫生行政部门审核同意，开工建设的处罚,2017-04-26,,,
400101,深卫医[2018]5号,对医疗卫生机构的环境、物品未符合国家有关规范、标准和规定。排放废弃的污水、污物未按照国家有关规定进行无害化处理。运送传染病病人及其污染物品的车辆、工具未随时进行消毒处理的处罚,2017-03-31,,,
400102,深卫医[2018]7号,医疗机构其他未按照规定签署医学文书案,2018-06-20,,,
400103,2017120053-01,违法法规:医疗卫生机构医疗废物管理办法》第十一条第（一）项、第（三）项,2016-05-25,,,
400104,深南卫传[2017]1号,对医疗机构未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作的行为进行处罚,2017-02-28,,,
400105,深卫医[2018]09-MT8号,医疗机构其他未按照规定保管病历案,2018-09-04,,,
400106,201606D01105-01,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2018-05-21,,,
400107,深宝卫放[2016]11-8号,对医疗机构未安装规定进行职业病危害预评价或者未提交职业病危害预评价报告，或者职业病危害预评价报告未经卫生行政部门审核同意，开工建设的处罚,2017-05-25,,,
400108,深卫医[2018]65号,使用非卫生技术人员从事医疗卫生技术工作案,2016-05-05,,,
400109,深卫医[2018]18号,对医疗卫生机构的环境、物品未符合国家有关规范、标准和规定。排放废弃的污水、污物未按照国家有关规定进行无害化处理。运送传染病病人及其污染物品的车辆、工具未随时进行消毒处理的处罚,2016-09-13,,,
400110,201711001373-01,对使用一名非卫生技术人员从事诊疗活动的不良执业行为进行检查,2018-09-01,,,
400111,深卫医[2016]9号,违法法规:《医疗事故处理条例》第九条,2016-02-26,,,
400112,深宝卫消[2016]06C-1号,对实施预防接种的医疗卫生人员未依照规定填写并保存接种记录的行政处罚。,2018-08-20,,,
400113,深卫医[2018]31号,医疗机构其他未按照规定书写病历案,2018-08-17,,,
400114,20160100157,对预防接种单位未依照规定对接种疫苗的情况进行登记并报告的行政处罚。,2018-09-18,,,
400115,201810002196-01,医疗机构其他未按照规定书写病历案,2018-03-21,,,
400116,深卫医[2018]64号,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-04-16,,,
400117,201803002398-01,医疗机构伪造医学文书案,2017-09-08,,,
400118,深南卫医[2017]24号,对医疗机构未给从事放射工作的人员办理《放射工作人员证》的行为进行处罚,2017-05-05,,,
400119,深龙华卫传[2018]11-4号,违法法规:《医疗事故处理条例》第九条严禁涂改、伪造、隐匿、销毁或者抢夺病历资料,2016-04-28,,,
400120,深卫医[2017]20号,对实施预防接种的医疗卫生人员未依照规定填写并保存接种记录的行政处罚。,2018-08-30,,,
400121,深龙卫放[2017]1号,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2016-09-01,,,
400122,20160100167-01,未经许可从事母婴保健技术服务案,2016-08-22,,,
400123,201804002515-01,对涂改、伪造、隐匿、销毁病历资料的违法行为进行处罚,2016-08-29,,,
400124,20161100522-01,医师未经亲自诊察、调查，签署医学文书案（对医疗机构进行行政处罚）,2017-06-02,,,
400125,深卫医[2016]12号,医疗机构实施手术时未取得患者或者其近亲属的书面同意案,2017-08-11,,,
400126,201601001143,对未将医疗废物按照类别分置于专用包装物或者容器的处罚；,2017-05-23,,,
400127,深卫医[2017]5号,对医疗卫生机构对临时应急采集的血液未进行艾滋病检测，对临床用血艾滋病检测结果未进行核查，或者将艾滋病检测阳性的血液用于临床的行政处罚。,2017-09-13,,,
400128,深卫医[2017]15号,对任用一名卫生技术人员从事执业范围或本专业以外的诊疗活动的不良执业行为进行检查,2017-05-10,,,
400129,深宝卫医[2017]06D-6号,使用非卫生技术人员从事医疗卫生技术工作案,2016-04-05,,,
400130,深宝卫传罚（现[2017 ]06B-3号,违反《医疗废物管理条例》的规定,2016-05-17,,,
400131,深卫医[2017]1号,深圳福华中西医结合医院使用非卫生技术人员从事医疗卫生技术工作案,2016-04-01,,,
400132,深卫医[2016]2号,医师未经亲自诊察、调查，签署医学文书案（对医疗机构进行行政处罚）,2017-06-06,,,
400133,20160100233-01,医疗机构其他未按照规定书写病历案,2017-06-14,,,
400134,深卫医[2016]1号,对使用一名非卫生技术人员从事诊疗活动的不良执业行为进行检查,2017-05-31,,,
400135,深卫医[2017]6号,对医疗机构未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作的行为进行处罚,2017-10-18,,,
400136,20170100165,深圳德尚泌尿外科医院使用未取得处方权的人员开具处方案,2016-01-11,,,
400137,深卫医[2017]3号,对任用一名卫生技术人员从事执业范围或本专业以外的诊疗活动的不良执业行为进行检查,2017-05-02,,,
400138,深龙卫放[2017]6号,未办理诊疗科目登记或者未按照规定进行校验,2015-12-21,,,
400139,深卫医[2015]21号,违反建设项目职业病危害评价制度的有关规定,2015-12-21,,,
400140,深卫医[2017]2号,使用非卫生技术人员从事医疗卫生技术工作案,2016-05-05,,,
400141,201506A0514-01,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2016-08-31,,,
400142,201506A0514-02,违法法规:《深圳经济特区控制吸烟条例》第十三条第（四）项,2016-05-25,,,
400143,深卫医[2016]3号,使用未取得处方权的人员开具处方案,2015-12-15,,,
400144,20161100521-01,未经许可从事母婴保健技术服务案,2015-12-31,,,
400145,201606D0172-02,对医疗、保健机构或人员未取得母婴保健技术许可，擅自从事婚前医学检查、遗传病诊断、产前诊断、终止妊娠手术和医学技术鉴定或者出具有关医学证明的违法行为进行处罚,2016-07-07,,,
400146,深卫医[2015]22号,华丹医院使用未取得处方权的医师张吉荣单独开具处方,2016-05-04,,,
400147,深卫医[2015]24号,对医疗机构未按照规定使用安全防护装置和个人防护用品的行为进行处罚,2018-05-10,,,
400148,201601001121-01,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2017-06-30,,,
400149,深卫医[2016]6号,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2018-08-02,,,
400150,201601001130,医疗机构伪造医学文书案,2018-08-02,,,
400151,20181100521,医疗机构的牌匾中的机构名称未与医疗机构执业许可证载明的机构名称相同案,2018-01-25,,,
400152,深卫医[2017]10号,医疗机构其他未按照规定签署医学文书案,2018-04-28,,,
400153,深卫医[2018]23号,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2018-08-18,,,
400154,深卫医[2018]22号,对接种单位医疗卫生人员在接种前，未依照本条例规定告知、询问受种者或者其监护人有关情况的行政处罚。,2018-09-07,,,
400155,深卫医[2018]2号,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2018-08-01,,,
400156,深卫医[2018]13号,医疗机构未及时告知患者医疗费用案,2018-07-26,,,
400157,深卫医[2018]61号,医疗机构其他未按照规定签署医学文书案,2018-08-01,,,
400158,20180800299-01,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2018-08-13,,,
400159,深卫医[2018]63号,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2018-08-13,,,
400160,深卫医[2018]55号,对实施预防接种的医疗卫生人员未依照规定填写并保存接种记录的行政处罚。,2018-08-30,,,
400161,深卫医[2018]62号,对接种单位未依照规定建立并保存真实、完整的疫苗接收或者购进记录的行政处罚。,2018-08-23,,,
400162,201801001147,医疗机构其他未按照规定签署医学文书案,2018-01-31,,,
400163,201801001148,对涂改、伪造、隐匿、销毁病历资料的违法行为进行处罚,2018-02-09,,,
400164,201803002368-01,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2017-08-01,,,
400165,20180800279-01,对预防接种单位未依照规定对接种疫苗的情况进行登记并报告的行政处罚。,2018-09-06,,,
400166,深卫医[2018]3号,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2018-08-30,,,
400167,深卫医[2017]29号,对医疗机构使用执业助理医师单独执业违法行为进行处罚,2018-08-01,,,
400168,深宝卫放[2017]06C-1号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2018-08-01,,,
400169,201809002356,医疗机构其他未按照规定书写病历案,2018-08-01,,,
400170,深龙卫放[2018]2号,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2018-01-04,,,
400171,深卫医[2018]39号,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-07-17,,,
400172,深卫医[2018]38号,医疗机构其他未按照规定书写病历案,2018-08-01,,,
400173,深卫医[2018]26号,对医师未经亲自诊查、调查，签署诊断、治疗、流行病学等证明文件或者有关出生、死亡等证明文件的行为进行处罚,2017-06-20,,,
400174,深卫医[2017]25号,对接种单位未依照规定建立并保存真实、完整的疫苗接收或者购进记录的行政处罚。,2018-09-05,,,
400175,201803002246-01,对预防接种单位未依照规定对接种疫苗的情况进行登记并报告的行政处罚。,2018-08-28,,,
400176,深卫医技[2018]22号,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2018-06-07,,,
400177,深卫医[2018]51号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2018-06-07,,,
400178,深南卫医[2017]2号,医疗机构其他未按照规定书写病历案,2018-06-07,,,
400179,201803002382,对医疗机构未按照规定对放射诊疗设备、工作场所及防护设施进行检测和检查的行为进行处罚,2018-04-10,,,
400180,201803002355-01,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-09-03,,,
400181,深卫医[2018]16号,医疗机构其他未按照规定书写病历案,2018-05-24,,,
400182,深卫医[2018]15号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2017-12-22,,,
400183,深卫医[2018]17号,使用未取得处方权的医师单独开具处方,2016-05-05,,,
400184,深南卫放[2018]1号,对医疗机构诊疗活动超出登记的诊疗科目范围行为进行处罚,2016-09-30,,,
400185,201803002370-01,深圳平乐骨伤科医院坪山院区超出批准范围从事放射诊疗工作案,2016-07-19,,,
400186,深卫医[2018]19号,职业病危害放射防护评价审核,2016-01-05,,,
400187,深卫医[2017]24号,对医疗卫生机构使用的进入人体组织或无菌器官的医疗用品未达到灭菌要求。各种注射、穿刺、采血器具未一人一用一灭菌。接触皮肤、粘膜的器械和用品未达到消毒要求。医疗卫生机构使用的一次性使用医疗用品用后未及时进行无害化处理的处罚,2016-10-12,,,
400188,深卫医[2016]5号,使用未取得处方权的人员开具处方案,2015-12-23,,,
400189,深卫医[2016]13号,违法法规:《医疗事故处理条例》第九条,2016-03-23,,,
400190,深龙卫放罚[2016]10-001号,违法法规:违反《医疗卫生机构医疗废物管理办法》第十一条第（一）项、第（三）项,2016-05-25,,,
400191,2016010051-01,对涂改、伪造、隐匿、销毁病历资料的违法行为进行处罚,2016-10-21,,,
400192,深宝卫传[2016]11-25号,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2016-10-21,,,
400193,深卫医罚[2015]104号,对涂改、伪造、隐匿、销毁病历资料的违法行为进行处罚,2016-10-20,,,
400194,20160100141,违法法规:医疗卫生机构医疗废物管理办法》第十一条第（一）项、第（三）项,2016-05-26,,,
400195,201606D01104-01,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2016-10-31,,,
400196,深卫医[2016]16号,对医疗机构未办理诊疗科目登记或者未按照规定进行校验的行为进行处罚,2016-10-31,,,
400197,20161100531-01,违法法规:《麻醉药品和精神药品管理条例》第四十七条,2016-03-15,,,
400198,201601001178-01,违法法规:《医疗事故处理条例》第九条,2016-01-26,,,
400199,201606D01110-01,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2017-01-12,,,
400200,20161100535-01,未办理诊疗科目登记或者未按照规定进行校验,2016-06-29,,,
400201,20161100536-01,使用未取得处方权的人员开具处方案,2016-01-25,,,
400202,20160100130-01,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2016-11-03,,,
400203,2016010019,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2016-12-06,,,
400204,20170101203-1,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2016-11-02,,,
400205,201606D053-01,对未将医疗废物按照类别分置于专用包装物或者容器的处罚；,2016-10-31,,,
400206,深宝卫医[2015]11-89号,深圳龙城心血管病医院使用未取得处方权的医师单独开具处方案,2016-07-07,,,
400207,20160101264-1,"出具虚假证明文件,",2016-07-16,,,
400208,201601001210,对未按照国务院卫生行政部门的规定要求，书写并妥善保管病历资料的行为进行处罚,2016-11-08,,,
400209,201601001197,医疗机构欺骗患者接受诊疗案,2018-09-30,,,
400210,201601001205,医疗机构其他未按照规定签署医学文书案,2018-09-20,,,
400211,201604002896-01,医师未经亲自诊查、调查，签署医学文书案（对医疗机构进行行政处罚）,2018-09-20,,,
400212,深卫医[2016]11号,医疗机构其他未按照规定签署医学证明文件案,2018-03-19,,,
400213,201601001128,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-08,,,
400214,201601001208,对医疗机构中允许未取得护士执业证书的人员或者允许未依照本条例规定办理执业地点变更手续、延续执业注册有效期的护士在本机构从事诊疗技术规范规定的护理活动的行为进行处罚,2017-09-20,,,
400215,深卫医[2018]57号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-23,,,
400216,深卫医[2018]58号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-14,,,
400217,深卫医[2018]40号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-23,,,
400218,深卫医[2018]4号,医疗机构其他未按照规定书写病历案,2018-09-20,,,
400219,201803002829-01,医疗机构使用非卫生技术人员开展医疗卫生技术活动案,2018-11-06,,,
400220,深宝卫放[2017]06D-2号,对有隐匿、伪造、篡改病历资料、处方或者其他医疗文书等行为的不良执业行为进行检查,2016-09-27,,,
400221,201812002179,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2018-09-26,,,
400222,201806D02259-01,对医疗机构未按照规定对放射诊疗工作人员进行个人剂量监测、健康检查、建立个人剂量和健康档案的行为进行处罚,2017-10-11,,,
400223,201812002181,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-09-01,,,
400224,深卫医[2018]78号,医疗机构未公示药品价格案,2017-09-04,,,
400225,深卫医[2018]75号,对医疗机构使用卫生技术人员开展注册专业以外的医疗卫生技术活动违法行为进行处罚,2018-03-05,,,
400226,201601001206,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-08-31,,,
400227,深卫医[2018]60号,对医疗机构使用未取得卫生技术人员从事医疗卫生技术工作的行为进行处罚,2017-01-19,,,
400228,深卫放[2017]3号,对实验室新建、改建或者扩建一级、二级实验室未向设区的市级人民政府卫生主管部门或者兽医主管部门备案的行政处罚。,2017-05-02,,,
400229,201704002557-01,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-12,,,
400230,201705001479-01,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-12,,,
